A,B,C
9.620538327431644,12.504824030127361,12.504824030127361
13.886225030086605,9.983325524886352,9.983325524886352
14.369099904130225,9.792090472308027,9.792090472308027
12.871589671126625,11.860587623506825,11.860587623506825
14.249400623521238,9.95804220541999,9.95804220541999
9.727984557476628,11.563539935109894,11.563539935109894
9.434703290097044,11.606648302895312,11.606648302895312
9.741693240389345,12.437062584878815,12.437062584878815
12.60475026464901,11.22941013190641,11.22941013190641
14.01716850534121,10.37544542921856,10.37544542921856
9.598997112365147,12.196469594539243,12.196469594539243
14.596187984166258,11.223225333377712,11.223225333377712
9.553911571539931,12.38379287954889,12.38379287954889
13.178625557242642,12.078455710258867,12.078455710258867
12.548309194131361,12.121437672855613,12.121437672855613
9.532496870487726,12.230527732516533,12.230527732516533
14.155034060038975,10.825991154703729,10.825991154703729
12.473322251940152,12.187043765674172,12.187043765674172
9.919586810739053,12.158719516956962,12.158719516956962
13.349034649469283,11.817505141627747,11.817505141627747
9.235179032635152,12.76938146071456,12.76938146071456
13.229587272697692,9.838059913107069,9.838059913107069
10.062083282089391,11.498776057294789,11.498776057294789
12.451327321115228,11.81361594445477,11.81361594445477
14.440368006442947,10.442433598115562,10.442433598115562
13.736135056133897,10.10593384461037,10.10593384461037
9.648855958222478,12.743247569237113,12.743247569237113
13.170110164955076,12.199063951047462,12.199063951047462
14.448176106254992,10.51188439386377,10.51188439386377
12.305249459177887,11.550644719666124,11.550644719666124
12.824658703980695,12.51831380447954,12.51831380447954
12.623816981389147,12.085250484027764,12.085250484027764
9.65085883504,12.458367685059166,12.458367685059166
14.487821774877851,10.309598450917829,10.309598450917829
14.125952145914686,10.121482212211408,10.121482212211408
12.533749741519753,12.45257873647268,12.45257873647268
9.778654894379844,11.664596230236732,11.664596230236732
9.851413743338156,12.262769770264097,12.262769770264097
14.659219474639734,10.141613709067999,10.141613709067999
12.371297603394515,11.835733039290528,11.835733039290528
